"Group" "ID" "Freq" "AudP" "VidP" "ID_Ten" "FreqF" "FreqLog" "AudPScaI" "VidPScaI" "FreqLogScaI" "res_V" "res_A" "reorderGroup" "Cat" "LowHighF" "Order"
"1" "1" "1" 0.00031746 1.7711610604385 0.844396398158624 "1" 1 -3.4983109880843 1.55748034096516 1.03152781471065 -1.48629907863293 -0.376620892397752 0.189578361496769 "1" "1" "1" 5
"2" "1" "1" 0.00063492 1.43997970522364 0.99321130913145 "1" 2 -3.19728099242032 1.05185717783979 1.31088249072192 -1.15601038405615 0.215655728413932 -0.0120665743641466 "1" "1" "1" 5
"3" "1" "1" 0.0012698 1.35005409357903 0.687297037768995 "1" 3 -2.89626467726167 0.914565414611662 0.736621607823665 -0.825736699665435 -0.045697430626746 0.154606075182502 "1" "1" "1" 5
"4" "1" "1" 0.0025397 1.16241503610645 0.705059352089079 "1" 4 -2.59521758103336 0.628091999755324 0.769964943714269 -0.495429242429949 0.300585626172672 0.172128155634671 "1" "1" "1" 5
"5" "1" "1" 0.0050794 0.713112365881025 0.409983816226541 "1" 5 -2.29418758536938 -0.0578700380914826 0.216050485943429 -0.165140547853167 0.0595931132022042 -0.209855654947693 "1" "1" "1" 5
"6" "1" "1" 0.010159 0.551413398581146 0.395518593563363 "1" 6 -1.99314903967573 -0.304740044608691 0.188896435559049 0.165157527775929 0.345369895409946 -0.152738800433396 "1" "1" "2" 5
"7" "1" "1" 0.020317 0.398148420008631 0.0305592452911556 "1" 7 -1.69214041940153 -0.538733661827574 -0.496203597948216 0.495422769375631 -0.0268304131044047 -0.0827757751242016 "1" "1" "2" 5
"8" "1" "1" 0.040635 0.317812708150822 -0.294820755126324 "1" 8 -1.39109973591115 -0.661384276368121 -1.10700545915262 0.825723190585243 -0.324699219467999 0.0985626301006739 "1" "1" "2" 5
"9" "1" "1" 0.08127 0.0173255545617222 -0.457037710960619 "1" 9 -1.09006974024717 -1.12014580591646 -1.41151839300034 1.15601188516202 -0.316290208515348 -0.0562206721832172 "1" "1" "2" 5
"10" "1" "1" 0.16254 -0.211252013409831 -0.365250751192334 "1" 10 -0.789039744583188 -1.46912110635962 -1.23921632837181 1.48630057973881 0.16893380091355 -0.101217745361941 "1" "1" "2" 5
"11" "1" "2" 0.00031746 1.15484984152074 2.04547945311078 "2" 1 -3.4983109880843 1.30934416155338 1.57562752507204 -1.48629907863293 0.167478817963632 -0.0585578179150253 "1" "1" "1" 5
"12" "1" "2" 0.00063492 0.964042664542201 1.50347744243699 "2" 2 -3.19728099242032 0.861810432668017 0.91448458647075 -1.15601038405615 -0.180742175837287 -0.202113319535941 "1" "1" "1" 5
"13" "1" "2" 0.0012698 0.813140466671328 1.01607181673402 "2" 3 -2.89626467726167 0.507872890173261 0.31993921335033 -0.825736699665435 -0.462379825100081 -0.252086449255899 "1" "1" "1" 5
"14" "1" "2" 0.0025397 0.972734962840798 1.37270953038593 "2" 4 -2.59521758103336 0.88219801311313 0.75497174344509 -0.495429242429949 0.285592425903493 0.426234168992477 "1" "1" "1" 5
"15" "1" "2" 0.0050794 0.698509408026007 1.04135320204697 "2" 5 -2.29418758536938 0.239008448415991 0.350777861636776 -0.165140547853167 0.194320488895552 0.0870228315597811 "1" "1" "1" 5
"16" "1" "2" 0.010159 0.687680536530386 0.813454217453901 "2" 6 -1.99314903967573 0.213609585979068 0.0727829438858139 0.165157527775929 0.229256403736711 0.365610830154363 "1" "1" "2" 5
"17" "1" "2" 0.020317 0.489297399166685 0.469203257834215 "2" 7 -1.69214041940153 -0.251693379130767 -0.347140020562853 0.495422769375631 0.122233164280959 0.204264507572606 "1" "1" "2" 5
"18" "1" "2" 0.040635 0.286434013402093 0.119321886463977 "2" 8 -1.39109973591115 -0.727504661091853 -0.773931053573973 0.825723190585243 0.00837518611064394 0.0324422453769415 "1" "1" "2" 5
"19" "1" "2" 0.08127 0.0867867956266242 -0.29244685539217 "2" 9 -1.09006974024717 -1.19577249696414 -1.27621331573108 1.15601188516202 -0.180985131246091 -0.1318473632309 "1" "1" "2" 5
"20" "1" "2" 0.16254 -0.187400785262902 -0.550753080509989 "2" 10 -0.789039744583188 -1.83887299471609 -1.59129948399289 1.48630057973881 -0.183149354707531 -0.470969633718404 "1" "1" "2" 5
"21" "1" "3" 0.00031746 1.55210826014798 2.20262452357898 "3" 1 -3.4983109880843 1.6592694776075 1.56385241928799 -1.48629907863293 0.155703712179578 0.2913674981391 "1" "1" "1" 5
"22" "1" "3" 0.00063492 1.29132444179242 1.80619354547439 "3" 2 -3.19728099242032 1.18293152724747 1.1520289731043 -1.15601038405615 0.0568022107962589 0.119007775043509 "1" "1" "1" 5
"23" "1" "3" 0.0012698 0.486529653871529 1.00560944536028 "3" 3 -2.89626467726167 -0.287076474614037 0.320360104427025 -0.825736699665435 -0.461958934023386 -1.0470358140432 "1" "1" "1" 5
"24" "1" "3" 0.0025397 0.972993848459809 1.01890844431633 "3" 4 -2.59521758103336 0.601480794141754 0.334175471750382 -0.495429242429949 -0.135203845791215 0.145516950021101 "1" "1" "1" 5
"25" "1" "3" 0.0050794 0.794794663231126 0.960090067904919 "3" 5 -2.29418758536938 0.275988839990191 0.273073318259529 -0.165140547853167 0.116615945518304 0.124003223133981 "1" "1" "1" 5
"26" "1" "3" 0.010159 0.6959192528314 0.717029404084877 "3" 6 -1.99314903967573 0.0953867204729542 0.0205751893679512 0.165157527775929 0.177048649218848 0.247387964648249 "1" "1" "2" 5
